experiment,final_val_loss_mean,final_val_loss_std,final_accuracy_mean,final_accuracy_std,best_val_loss_mean,best_val_loss_std,best_accuracy_mean,best_accuracy_std
baseline,0.282843,0.002850760600260928,0.9060666666666667,0.0003511884584284584,0.28268899999999997,0.0029686261132045606,0.9060666666666667,0.001950213663508017
ls,0.698168,0.003321728014151667,0.9139333333333334,0.0003055050463304314,0.6976946666666667,0.0035302790730101174,0.9144333333333333,0.0009712534856222393
