experiment,seed,epoch,train_loss,val_loss,accuracy
ls,42,1,2.056722,1.647616,0.4568
ls,42,2,1.569291,1.569186,0.5246
ls,42,3,1.336457,1.338448,0.6317
ls,42,4,1.174619,1.161792,0.7074
ls,42,5,1.057262,1.142139,0.7287
ls,42,6,0.990045,1.047924,0.7663
ls,42,7,0.94444,1.016708,0.7722
ls,42,8,0.916492,1.154518,0.7456
ls,42,9,0.894596,1.149594,0.7149
ls,42,10,0.872945,0.97412,0.8004
ls,42,11,0.743042,0.745236,0.8929
ls,42,12,0.701482,0.736017,0.8961
ls,42,13,0.680846,0.729768,0.9011
ls,42,14,0.666297,0.723306,0.9029
ls,42,15,0.656761,0.711157,0.9077
ls,42,16,0.631408,0.700425,0.9125
ls,42,17,0.625858,0.699198,0.9147
ls,42,18,0.622843,0.696695,0.9144
ls,42,19,0.619031,0.696215,0.9155
ls,42,20,0.619098,0.697635,0.914
