experiment,seed,epoch,train_loss,val_loss,accuracy
baseline,0,1,2.044907,1.607974,0.4055
baseline,0,2,1.501192,1.355058,0.4996
baseline,0,3,1.238471,1.5433,0.4926
baseline,0,4,1.034018,1.023859,0.645
baseline,0,5,0.871429,0.940675,0.6813
baseline,0,6,0.728439,0.76251,0.7425
baseline,0,7,0.64746,0.809062,0.7293
baseline,0,8,0.588869,0.746542,0.7528
baseline,0,9,0.552779,0.694254,0.7689
baseline,0,10,0.517794,0.683579,0.7732
baseline,0,11,0.349436,0.349071,0.8825
baseline,0,12,0.294058,0.337432,0.8847
baseline,0,13,0.268174,0.327442,0.8887
baseline,0,14,0.249046,0.329139,0.8916
baseline,0,15,0.233488,0.322525,0.8931
baseline,0,16,0.199404,0.293987,0.903
baseline,0,17,0.190648,0.290789,0.9037
baseline,0,18,0.185237,0.288065,0.9041
baseline,0,19,0.182023,0.293189,0.9026
baseline,0,20,0.175987,0.285389,0.9061
