experiment,seed,epoch,train_loss,val_loss,accuracy
baseline,17,1,2.036136,1.60337,0.4082
baseline,17,2,1.464199,1.505641,0.467
baseline,17,3,1.129768,1.012043,0.6357
baseline,17,4,0.86417,0.889371,0.694
baseline,17,5,0.706894,0.763591,0.7416
baseline,17,6,0.626953,0.684688,0.7611
baseline,17,7,0.573325,0.722546,0.7582
baseline,17,8,0.540179,0.605799,0.7884
baseline,17,9,0.513849,0.632535,0.7903
baseline,17,10,0.497921,0.623087,0.7948
baseline,17,11,0.324873,0.337559,0.886
baseline,17,12,0.269045,0.327171,0.8878
baseline,17,13,0.242392,0.315311,0.8919
baseline,17,14,0.224704,0.316282,0.8926
baseline,17,15,0.209096,0.30557,0.8986
baseline,17,16,0.180765,0.288909,0.9039
baseline,17,17,0.172358,0.284178,0.9067
baseline,17,18,0.169325,0.283865,0.9059
baseline,17,19,0.161227,0.283168,0.908
baseline,17,20,0.162049,0.283377,0.9057
